ingredient,term,factor,origin
pork,teaspoon,5.0,
potato pieces, 1, 15.0,
potato pieces,cup,210.0,
potato wedges, piece, 15.0,
potato wedge, piece, 15.0,
potato wedges, 1.5, 23.0,
potato, wedge, 15.0,
potato wedges, 1, 15.0,
potato wedges, gram, 1.0, is 80 grams
potato wedges,handful,41.0,
potato,cup,210.0,
potatoes,slices,15.0,
potato,piece,15.0,
potato,tablespoon,9.0,
potato salad,tablespoon,18.0,
potato salad,cup,296.0,
potatoes, halves, 7.5,
potatoes, handful, 173.0, cooked
boiled potatoes, cup, 165.0, 
potatoes, tablespoon, 10.0,
pumpkin seeds,piece,1.0,
pumpkin seeds,tablespoon,7.0,
quinoa, cup, 195.0,  assumed cooked
quinoa, tablespoon, 12.0,
radish slices, 1, 1.0,
quesadilla, piece, 23.0,
chicken quesadilla, piece, 23.0,
radish slices, cup, 116.0,
radicchio, tablespoon, 2.5,
radish, cup, 116.0,
radish, slice, 1.0,
radishes, cup, 116.0,
raisin,cup,165.0,
raisin,tablespoon,10.0,
raisin,teaspoon,3.0,
raisins, piece, 1.0,
ravioli,1,5.0,
green bell pepper, strip, 7.5,
yellow bell pepper, strip, 7.5,
red bell pepper, strip, 7.5,
red bell pepper pieces, 1,7.5,
green chili,piece,25.0,
red chili,teaspoon,2.0,
red pepper pieces,1,3.0, 
remnant,*,0.0,
remnants,cup,60.0,
ingredients,cup,60.0,
remnants,grams,1.0,
remnants,piece,1.0,
ingredients,slice,5.0,
ingredients,strips,5.0,
ingredients,strip,5.0,
remnants,tablespoon,15.0,
ingredients,tablespoon,15.0,
remnants,teaspoons,2.0,
remnants,teaspoon,2.0,
remnants,trace amounts,1.0,
american filet, cup, 238.0,
remnants,trace,1.0,
residue,*,0.0,
rice remnants, teaspoon, 4.0,
rice, cup,  180, assumed cooked
pork fried rice, cup,  180,
rice, tablespoon, 12.0,
rice, teaspoon, 4.0,
ricotta,tablespoon,15.0,
rigatoni, 1, 5.0,
risotto, cup,  180.0,
risotto, tablespoon, 12.0,
risotto, teaspoon, 4.0,
saffron, teaspoon, 1.0,
salad,cup,75.0,
salad,handful,26.0,
salad,piece,28.0,
salad,tablespoon,5.0,
salad,teaspoon,1.5,
salmon,cup,200.0,
salmon,tablespoon,15.0,
salmon,teaspoon,5.0,
salsa,tablespoon,15.0,
sauce remnants, teaspoon, 5.0,
applesauce, teaspoon, 5.0,
mushroom sauce, teaspoon, 5.0,
ribs sauce remnants, teaspoon, 5.0,
sauce remnants, tablespoon, 15.0,
tomato meat sauce, tablespoon, 15.0,
sauce, remnants, 0.0,
filling,cup,240.0,
sauce,cup,240.0,
salsa,cup,240.0,
dipping sauce,cup,240.0,
sauce,tablespoon,15.0,
sauce,teaspoon,5.0,https://www.thecalculatorsite.com/cooking/teaspoons-grams.php
sauerkraut, tablespoon, 14.0,
sauerkraut, cup, 142.0,
sausage,cup,200.0,
sausage,piece,50.0,
cevapcici,piece,50.0,
chipolata,piece,50.0,
chipolatas,piece,50.0,
sausage,tablespoon,15.0,
sausage,teaspoon,5.0,
scallops, piece, 13.0,
seasoning,*,0.0,
seeds,cup,140.0,
seeds,tablespoon,9.0,
seeds,teaspoon,3.0,
shallot, grams, 1.0,
shallot, piece, 5.0, assume 1/5 of full shallot which is 25
shallot, slice, 5.0,
shrimp, 1, 15.0,
breaded shrimp, piece, 20.0,
bread_piece, tablespoon, 5.0,
shrimp, cup, 145.0,
shrimp, piece, 15.0,
snap peas,1,3.0,
sugar snap peas,cup,160.0,
snow peas,cup,160.0,
snow peas,handful,80.0,
soup,cup,240.0,
pea soup, tablespoon,12.0,
spaghetti,cup,200.0, assumed to be cooked
spices, tablespoon, 28.0,
spices, teaspoon, 14.0,
spinach leaves,handful,100.0,
spinach, leaf, 8.0,
spinach, leaves, 8.0,
spinach, piece, 8.0,
spinach,cup,30.0,
spinach,handful,15.0,
spinach,tablespoon,2.0,
spinach,teaspoon,1.0,
spread,*,0.0,
squash, cup, 205.0,
steak, cup, 227.0,
steak, piece, 23.0, assume a fifth of a steak (225 grams)
sugar,cup,200.0,
sugar,tablespoon,12.0,
sugar,teaspoon,4.0,
tuna, tablespoon, 14.0,
tuna, cup, 237.0,
toast, piece, 9.4, assume 1/5 of toast which is 47
tofu,cup,252.0,
tofu,piece,9.0,
tofu,tablespoon,15.0,
tofu,teaspoon,5.0,
tomato sauce, cup, 258.0,
tomato_sauce, tablespoon, 15.0,
tomato sauce, tablespoon, 15.0,
tomato sauce, teaspoon, 5.0,
tomato,1,80.0,
tomato,cup,180.0,
tomato,piece,10.0,
tomato,slice,10.0,
tomato,tablespoon,15.0,
tomato,teaspoon,5.0,
tortellini,1,5.0,
tortellini,3,15.0, 
tortellini,cup,200.0, 
tortellini,piece,5.0,
tortilla, piece, 30.0,
tortillas, 1, 49.0,
trace,*,0.0,
traces,*,0.0,
turkey,cup,160.0,
turkey,piece,30.0,
turkey,tablespoon,15.0,
turkey,teaspoon,5.0,
tzatziki sauce, gram, 1.0, was 50 grams
union, tablespoon, 13.0,
vegetable, cup, 75.0,
vegetable, piece, 20.0,
dauphinoise_gratin, piece, 20.0,
dauphinoise gratin, piece, 20.0,
vegetable, tablespoon, 20.0,
vegetable, teaspoon, 5.0,
wasabi, piece, 2.0,
wasabi, teaspoon, 2.0,
water, glass, 225.0,
water,tablespoon,15.0,https://www.inchcalculator.com/convert/tablespoon-to-gram/
wrap, 1, 61.0,
wrap, piece, 61.0,
chicken wrap, piece, 61.0,
yoghurt,cup,240.0,
zucchini slices, 1, 9.0,
zucchini slices, cup, 150.0,
zucchini slices, piece, 9.0,
zucchini, cup,150.0,https://www.kingarthurbaking.com/learn/ingredient-weight-chart
zucchini, gram,1.0, is 50 grams
zucchini, piece, 20.0, assume a 1/10 of a full zucchini which is 200 https://weighschool.com/zucchini-weights-servings-calories/
zucchini, slice, 9.0,
zucchini, tablespoon,10.0,
